band_name,fans,formed,origin,style,split
Iron Maiden,4195,1975,United Kingdom,"New wave of british heavy,Heavy",-
Opeth,4147,1990,Sweden,"Extreme progressive,Progressive rock,Progressive",1990
Metallica,3712,1981,USA,"Heavy,Bay area thrash",-
Megadeth,3105,1983,USA,"Thrash,Heavy,Hard rock",1983
Amon Amarth,3054,1988,Sweden,Melodic death,-
Slayer,2955,1981,USA,Thrash,1981
Death,2690,1983,USA,"Progressive death,Death,Progressive thrash",2001
Dream Theater,2329,1985,USA,Progressive,1985
Black Sabbath,2307,1968,United Kingdom,"Doom,Heavy,Hard rock",-
Nightwish,2183,1996,Finland,"Symphonic power,Gothic,Symphonic",1996
Children Of Bodom,2153,1993,Finland,Extreme power,-
Judas Priest,2094,1969,United Kingdom,"Heavy,Hard rock",1969
Blind Guardian,2040,1984,Germany,"Power,Speed",-
In Flames,1932,1990,Sweden,"Gothenburg,Alternative",1990
Pantera,1920,1981,USA,"Heavy,Groove thrash,Groove metal",2003
Dark Tranquillity,1898,1989,Sweden,Gothenburg,1989
Agalloch,1881,1995,USA,"Atmospheric black,Neofolk",2016
Ensiferum,1879,1995,Finland,Extreme folk,1995
Arch Enemy,1750,1996,Sweden,Gothenburg,-
Katatonia,1735,1991,Sweden,"Blackened doom,Death doom,Alternative rock,Gothic doom",1991
Behemoth,1721,1991,Poland,"Death,Black,Blackened death",-
Dimmu Borgir,1688,1993,Norway,"Symphonic black,Black",1993
Kreator,1646,1982,Germany,Teutonic thrash,-
Wintersun,1640,2004,Finland,Extreme power,2004
Insomnium,1547,1997,Finland,Melodic death,-
Amorphis,1528,1990,Finland,"Death,Melodic death,Folk,Progressive",1990
Kamelot,1520,1991,USA,Symphonic power,-
Tool,1506,1988,USA,"Progressive,Alternative",1988
Helloween,1501,1978,Germany,"Speed,Power",-
Testament,1500,1983,USA,Bay area thrash,1983
Epica,1450,2002,The Netherlands,Symphonic,-
Immortal,1436,1990,Norway,"Death,Black",1990
Lamb Of God,1433,1999,USA,Groove thrash,-
Iced Earth,1403,1985,USA,"Heavy,Us power",1985
Anathema,1400,1990,United Kingdom,"Death doom,Atmospheric rock,Doom",-
Symphony X,1343,1994,USA,"Progressive,Symphonic power",1994
Eluveitie,1328,2002,Switzerland,"Celtic folk,Gothenburg",-
Gojira,1300,1996,France,Progressive death,1996
Rammstein,1251,1994,Germany,Industrial,-
Sonata Arctica,1242,1996,Finland,Power,1996
Mastodon,1232,1999,USA,"Progressive stoner,Progressive sludge",-
Nile,1189,1993,USA,"Brutal death,Technical death",1993
Sepultura,1185,1984,Brazil,"Alternative,Death,Groove thrash,Thrash",-
Moonspell,1173,1989,Portugal,"Folk,Gothic black,Gothic,Symphonic black,Black",1989
Therion,1167,1987,Sweden,"Death,Symphonic",-
Cannibal Corpse,1162,1988,USA,Death,1988
Enslaved,1146,1991,Norway,"Viking black,Progressive black",-
Emperor,1132,1991,Norway,"Black,Symphonic black",1991
Porcupine Tree,1094,1987,United Kingdom,"Progressive rock,Progressive",-
Cradle Of Filth,1084,1991,United Kingdom,"Extreme gothic,Symphonic black,Death,Symphonic",1991
Iron Maiden,4195,1975,United Kingdom,"New wave of british heavy,Heavy",-
Opeth,4147,1990,Sweden,"Extreme progressive,Progressive rock,Progressive",1990
Metallica,3712,1981,USA,"Heavy,Bay area thrash",-
Megadeth,3105,1983,USA,"Thrash,Heavy,Hard rock",1983
Amon Amarth,3054,1988,Sweden,Melodic death,-
Slayer,2955,1981,USA,Thrash,1981
Death,2690,1983,USA,"Progressive death,Death,Progressive thrash",2001
Dream Theater,2329,1985,USA,Progressive,1985
Black Sabbath,2307,1968,United Kingdom,"Doom,Heavy,Hard rock",-
Nightwish,2183,1996,Finland,"Symphonic power,Gothic,Symphonic",1996
Children Of Bodom,2153,1993,Finland,Extreme power,-
Judas Priest,2094,1969,United Kingdom,"Heavy,Hard rock",1969
Blind Guardian,2040,1984,Germany,"Power,Speed",-
In Flames,1932,1990,Sweden,"Gothenburg,Alternative",1990
Pantera,1920,1981,USA,"Heavy,Groove thrash,Groove metal",2003
Dark Tranquillity,1898,1989,Sweden,Gothenburg,1989
Agalloch,1881,1995,USA,"Atmospheric black,Neofolk",2016
